ds,after_mode,amount_final
2023/6/18,bike,10.51981396
2023/6/19,bike,10.23780169
2023/6/20,bike,12.00360945
2023/6/21,bike,13.20003083
2023/6/22,bike,9.45220594
2023/6/23,bike,9.446915576
2023/6/24,bike,9.441625211
2023/6/25,bike,10.64797241
2023/6/26,bike,10.36897711
2023/6/27,bike,10.106564
2023/6/28,bike,9.181784171
2023/6/29,bike,10.10071611
2023/6/30,bike,9.427204244
2023/7/1,bike,8.753692387
2023/7/2,bike,9.075443933
2023/7/3,bike,11.19192365
2023/7/4,bike,11.70450908
2023/7/5,bike,12.21709451
2023/7/6,bike,11.66577825
2023/7/7,bike,9.715257577
2023/7/8,bike,9.783595334
2023/7/9,bike,9.851933085
2023/7/10,bike,11.44655656
2023/7/11,bike,10.29148169
2023/7/12,bike,8.817039751
2023/7/13,bike,7.342597804
2023/7/14,bike,7.389474939
2023/7/15,bike,7.965401731
2023/7/16,bike,10.68283994
2023/7/17,bike,12.69349329
2023/7/18,bike,12.27625821
2023/7/19,bike,11.86833831
2023/7/20,bike,12.36020877
2023/7/21,bike,10.62517017
2023/7/22,bike,10.41681221
2023/7/23,bike,10.20845425
2023/7/24,bike,11.07052827
2023/7/25,bike,12.33280357
2023/7/26,bike,11.78629225
2023/7/27,bike,10.7800173
2023/7/28,bike,11.7151288
2023/7/29,bike,11.06481973
2023/7/30,bike,10.41451065
2023/7/31,bike,10.90994035
2023/8/1,bike,12.13075274
2023/8/2,bike,9.805824679
2023/8/3,bike,13.52409487
2023/8/4,bike,11.26471744
2023/8/5,bike,12.26957197
2023/8/6,bike,13.27442649
2023/8/7,bike,12.27967715
2023/8/8,bike,12.13348101
2023/8/9,bike,11.5473502
2023/8/10,bike,12.17499705
2023/8/11,bike,10.90771394
2023/8/12,bike,10.98260041
2023/8/13,bike,11.05748688
2023/8/14,bike,12.39548289
2023/8/15,bike,13.59345117
2023/8/16,bike,11.82244579
2023/8/17,bike,10.79647963
2023/8/18,bike,10.2511207
2023/8/19,bike,9.705761777
2023/8/20,bike,10.0560672
2023/8/21,bike,11.00974549
2023/8/22,bike,13.22711155
2023/8/23,bike,11.87469875
2023/8/24,bike,9.948253477
2023/8/25,bike,9.053505334
2023/8/26,bike,8.158757191
2023/8/27,bike,11.07121829
2023/8/28,bike,12.24146285
2023/8/29,bike,13.10201314
2023/8/30,bike,11.75907114
2023/8/31,bike,11.86656825
2023/9/1,bike,11.48270351
2023/9/2,bike,11.09883878
2023/9/3,bike,11.95064992
2023/9/4,bike,13.79214332
