u_age,green_travel_ratio,danci_carbon_kg,trip_all,age
1,0.7759878515650065,3.435815000999843,62.86704589763908,"[19,24]"
2,0.7430929833114562,3.3837576954229767,64.23493313513272,"[25,29]"
3,0.6629179882987908,3.4398508611065823,55.719953175043564,"[30,34]"
4,0.5946709236122023,3.4071388290436855,48.18204262789605,"[35,39]"
5,0.5580157848368023,3.137606020962154,45.55731378110024,"[40,44]"
6,0.5540660865161936,2.9630040815861456,45.20127988460126,"[45,49]"
7,0.5682586495954927,2.878704722391709,41.09414709476838,50+
