ds,after_mode,amount_final
2023/5/24,subway,73.1653343
2023/5/25,subway,72.28752103
2023/5/26,subway,87.61500405
2023/5/27,subway,102.942487
2023/5/28,subway,53.84851587
2023/5/29,subway,48.23984465
2023/5/30,subway,60.79098901
2023/5/31,subway,73.34213335
2023/6/1,subway,56.36220023
2023/6/2,subway,89.26121897
2023/6/3,subway,122.1602378
2023/6/4,subway,71.31399758
2023/6/5,subway,131.9143869
2023/6/6,subway,192.5147762
2023/6/7,subway,96.71641883
2023/6/8,subway,107.2920875
2023/6/9,subway,158.7393351
2023/6/10,subway,210.1865827
2023/6/11,subway,209.566956
2023/6/12,subway,104.8135812
2023/6/13,subway,102.132417
2023/6/14,subway,105.0351082
2023/6/15,subway,107.9377995
2023/6/16,subway,183.9331807
2023/6/17,subway,184.0617394
2023/6/18,subway,169.6915184
2023/6/19,subway,155.3212976
2023/6/20,subway,126.4522973
2023/6/21,subway,126.3406239
2023/6/22,subway,139.270053
2023/6/23,subway,152.1994821
2023/6/24,subway,147.9904233
2023/6/25,subway,137.0843771
2023/6/26,subway,126.178331
2023/6/27,subway,131.1372634
2023/6/28,subway,137.8351997
2023/6/29,subway,140.0085479
2023/6/30,subway,183.9957404
2023/7/1,subway,204.1632908
2023/7/2,subway,224.3308413
2023/7/3,subway,189.0596142
2023/7/4,subway,153.7883873
2023/7/5,subway,156.7860552
2023/7/6,subway,160.5421345
2023/7/7,subway,273.7531455
2023/7/8,subway,282.2517265
2023/7/9,subway,238.3940926
2023/7/10,subway,194.5364585
2023/7/11,subway,189.452286
2023/7/12,subway,184.3681136
2023/7/13,subway,205.5888913
2023/7/14,subway,228.1621564
2023/7/15,subway,230.9879973
2023/7/16,subway,233.8138381
2023/7/17,subway,236.6315704
2023/7/18,subway,239.4493027
2023/7/19,subway,236.7469251
2023/7/20,subway,217.2832647
2023/7/21,subway,277.992003
2023/7/22,subway,283.1091675
2023/7/23,subway,260.4305455
2023/7/24,subway,237.7519233
2023/7/25,subway,257.9925333
2023/7/26,subway,278.2331431
2023/7/27,subway,270.9030258
2023/7/28,subway,261.9040461
2023/7/29,subway,252.9050665
2023/7/30,subway,241.6298024
2023/7/31,subway,273.314479
2023/8/1,subway,304.9991557
2023/8/2,subway,303.0169678
2023/8/3,subway,301.0347798
2023/8/4,subway,309.5451322
2023/8/5,subway,318.0554846
2023/8/6,subway,313.0524432
2023/8/7,subway,311.1561476
2023/8/8,subway,309.2598519
2023/8/9,subway,286.8637368
2023/8/10,subway,286.9710576
2023/8/11,subway,287.0783784
2023/8/12,subway,289.796527
2023/8/13,subway,289.2764111
2023/8/14,subway,288.7562951
2023/8/15,subway,291.7546176
2023/8/16,subway,289.7534135
2023/8/17,subway,287.7522093
2023/8/18,subway,280.7514785
2023/8/19,subway,278.4857063
2023/8/20,subway,276.219934
2023/8/21,subway,254.4938565
2023/8/22,subway,253.1329821
2023/8/23,subway,251.7721077
2023/8/24,subway,252.6139522
2023/8/25,subway,253.4557968
2023/8/26,subway,256.2493609
2023/8/27,subway,259.0429251
2023/8/28,subway,275.7818526
2023/8/29,subway,284.8171667
2023/8/30,subway,261.0396661
2023/8/31,subway,276.722465
2023/9/1,subway,296.3936289
2023/9/2,subway,297.3385152
2023/9/3,subway,288.9202628
2023/9/4,subway,280.5020102
2023/9/5,subway,279.9526523
2023/9/6,subway,279.4032944
2023/9/7,subway,272.0588055
2023/9/8,subway,308.424952
2023/9/9,subway,314.549208
2023/9/10,subway,320.673464
2023/9/11,subway,309.5170103
2023/9/12,subway,298.3605565
2023/9/13,subway,297.3469032
2023/9/14,subway,282.536701
2023/9/15,subway,318.8633638
2023/9/16,subway,309.9294649
2023/9/17,subway,300.995566
2023/9/18,subway,292.4212135
2023/9/19,subway,283.846861
2023/9/20,subway,303.7384726
2023/9/21,subway,308.8706114
2023/9/22,subway,309.6467606
2023/9/23,subway,310.4229099
2023/9/24,subway,306.8430697
2023/9/25,subway,311.9770029
2023/9/26,subway,315.791521
2023/9/27,subway,319.6060392
2023/9/28,subway,316.8102927
2023/9/29,subway,314.0145462
2023/9/30,subway,292.3468784
2023/10/1,subway,269.9810581
2023/10/2,subway,269.065229
2023/10/3,subway,279.7618453
2023/10/4,subway,290.4584616
2023/10/5,subway,319.4175559
2023/10/6,subway,330.6259927
2023/10/7,subway,341.8344296
2023/10/8,subway,335.2922091
2023/10/9,subway,298.6756893
2023/10/10,subway,307.1995755
2023/10/11,subway,315.7234618
2023/10/12,subway,317.2141828
2023/10/13,subway,327.9807464
2023/10/14,subway,327.5313762
2023/10/15,subway,327.0820058
2023/10/16,subway,330.7014577
2023/10/17,subway,334.3209097
2023/10/18,subway,314.3305954
2023/10/19,subway,368.3573876
2023/10/20,subway,368.4960453
2023/10/21,subway,363.9332372
2023/10/22,subway,359.3704293
2023/10/23,subway,332.0259759
2023/10/24,subway,346.8488385
2023/10/25,subway,350.0150325
2023/10/26,subway,343.0114802
2023/10/27,subway,336.0079279
2023/10/28,subway,350.6708063
2023/10/29,subway,344.2089667
2023/10/30,subway,337.7471271
2023/10/31,subway,340.6457111
2023/11/1,subway,343.0327627
2023/11/2,subway,511.6452986
2023/11/3,subway,477.8466451
2023/11/4,subway,444.0479916
2023/11/5,subway,326.5903171
2023/11/6,subway,351.9965659
2023/11/7,subway,356.093959
2023/11/8,subway,360.1913519
2023/11/9,subway,515.899521
2023/11/10,subway,446.657556
2023/11/11,subway,377.4155911
2023/11/12,subway,332.3851229
2023/11/13,subway,287.3546548
2023/11/14,subway,331.4635801
2023/11/15,subway,340.5316041
2023/11/16,subway,349.599628
2023/11/17,subway,437.0519013
2023/11/18,subway,449.8113423
2023/11/19,subway,425.2243671
2023/11/20,subway,400.6373918
2023/11/21,subway,409.4604261
2023/11/22,subway,397.5482263
2023/11/23,subway,364.1706816
2023/11/24,subway,391.9053871
2023/11/25,subway,386.4641926
2023/11/26,subway,342.8622659
2023/11/27,subway,361.7407341
2023/11/28,subway,344.0656417
2023/11/29,subway,326.3905493
2023/11/30,subway,346.8463179
2023/12/1,subway,380.673617
2023/12/2,subway,414.5009159
2023/12/3,subway,394.7901512
2023/12/4,subway,379.9823468
2023/12/5,subway,383.9260962
2023/12/6,subway,343.8961866
2023/12/7,subway,366.9799012
2023/12/8,subway,390.0636158
2023/12/9,subway,444.9039411
2023/12/10,subway,441.2414774
2023/12/11,subway,437.5790138
2023/12/12,subway,416.8511784
2023/12/13,subway,396.123343
2023/12/14,subway,459.8722499
2023/12/15,subway,439.0073958
2023/12/16,subway,440.9559727
2023/12/17,subway,467.5466752
2023/12/18,subway,435.5930664
2023/12/19,subway,449.2307604
2023/12/20,subway,440.1330262
2023/12/21,subway,444.3555465
2023/12/22,subway,444.3092985
2023/12/23,subway,444.5680181
2023/12/24,subway,445.1574242
2023/12/25,subway,447.5445842
2023/12/26,subway,451.8811088
2023/12/27,subway,451.2071893
2023/12/28,,452.2360386
2023/12/29,,453.1873241
2023/12/30,,451.9763521
