property_level,green_travel_ratio,danci_carbon_kg,trip_all,income
1,0.4258842731736071,1.7713154684741172,86.13541666666667,Low
2,0.5925768979343317,2.6677636398308766,56.53695988930833,Medium
3,0.6350518603250074,3.3527527839050215,49.96433073727933,High
